coordenador_projeto_pesquisa,unidade_coordenador_projeto,status_projeto_pesquisa,codigo_projeto_pesquisa,data_inicio_projeto,data_fim_projeto,grande_area,area,subarea,titulo_projeto_pesquisa
ANA PAULA DE OLIVEIRA,INSTITUTO DE ESTUDOS SÓCIO-AMBIENTAIS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI01024-2017,17/04/2017,31/03/2023,Outras,Ciências Ambientais,,ESTRATÉGIAS ADAPTATIVAS DE PLANTAS EM DIFERENTES FITOFISIONOMIAS DO CERRADO NO ESTADO DE GOIÁS
ANTONIO FERNANDES JUNIOR,UNID. ACAD. ESP/LETRAS E LINGUISTICA - CATALAO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI01091-2015,17/03/2021,01/09/2023,"Lingüística, Letras e Artes",Lingüística,Teoria e Análise Lingüística,DISPOSITIVOS DE PODER E PRÁTICAS DE SUBJETIVAÇÃO NA ATUALIDADE
HELIO GALDINO JUNIOR,FACULDADE DE ENFERMAGEM,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI01128-2016,15/08/2016,31/12/2023,Ciências da Saúde,Enfermagem,Enfermagem de Doenças Contagiosas,"Epidemiologia das infecções sexualmente transmissíveis em população empobrecida em Aparecida de Goiânia: cenário, diagnóstico e contribuições as políticas de saúde para enfrentamento das iniquidades em saúde "
HELIO YOCHIHIRO FUCHIGAMI,FACULDADE DE CIÊNCIAS E TECNOLOGIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI01143-2015,01/12/2015,31/12/2023,Engenharias,Engenharia de Produção,Pesquisa Operacional,Desenvolvimento de técnicas de sequenciamento para otimização da produção
ANTONIO NILSON ZAMUNER FILHO,UAE - DE ENGENHARIA - CATALÃO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI01146-2017,03/07/2017,01/12/2023,Engenharias,Engenharia de Minas,,ELEMENTOS TERRAS RARAS: APLICAÇÃO EM NUTRIÇÃO DE PLANTAS
JOANA PAULA SANCHEZ,FACULDADE DE CIÊNCIAS E TECNOLOGIA,PRORROGAÇÃO PENDENTE COORD. PESQUISA,PI01159-2017,19/04/2017,14/04/2023,Ciências Exatas e da Terra,Geociências,Geologia,Inventário do Patrimônio Geológico da Microrregião do Parque Nacional da Chapada dos Veadeiros-GO
MARLIPE GARCIA FAGUNDES NETO,"ESCOLA DE ENGENHARIA ELÉTRICA, MECÂNICA E DE COMPUTAÇÃO",FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI01243-2017,07/04/2017,31/12/2023,Engenharias,Engenharia Mecânica,Mecânica dos Sólidos,Acústica de Salas: Influência e modelagem da posição de materiais de absorção sonora na característica acústica de salas de aula
CLAUDIA VALERIA DE LIMA,INSTITUTO DE ESTUDOS SÓCIO-AMBIENTAIS,FINALIZADO,PI01257-2015,01/04/2015,31/12/2023,Ciências Exatas e da Terra,Geociências,Geografia Física,"Geodiversidade, Geoconservação e Patrimônio Geológico no Estado de Goiás"
ANDRE CARLOS SILVA,UAE - DE ENGENHARIA - CATALÃO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI01329-2013,01/03/2013,31/07/2023,Engenharias,Engenharia de Minas,Tratamento de Minérios,DESENVOLVIMENTO DE NOVOS REAGENTES PARA FLOTAÇÃO
MARIA CLORINDA SOARES FIORAVANTI,ESCOLA DE VETERINÁRIA E ZOOTECNIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI01375-2016,01/01/2016,31/12/2023,Ciências Agrárias,Medicina Veterinária,Medicina Veterinária Preventiva,APLICAÇÃO DE SNP MULTIPLEX PARA CARACTERIZAÇÃO DE MARCADORES MOLECULARES DE RESISTÊNCIA A DOENÇAS EM RAÇAS BOVINAS BRASILEIRAS LOCALMENTE ADAPTADAS: CURRALEIRO PÉ-DURO E PANTANEIRO
GISELE AUGUSTO RODRIGUES DE OLIVEIRA,FACULDADE DE FARMÁCIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI01504-2014,17/03/2014,01/08/2023,Ciências da Saúde,Farmácia,Análise Toxicológica,AVALIAÇÃO ECOTOXICOLÓGICA E TOXICOGENÉTICA DE CONTAMINANTES EMERGENTES PRESENTES EM SISTEMAS HÍDRICOS
CARLA SILVA SIQUEIRA,UNID. ACAD. ESP/CIENCIAS DA SAUDE-JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI01527-2017,01/08/2017,31/12/2023,Ciências da Saúde,Odontologia,,"Análise morfológica e patologia molecular na prevenção, diagnóstico, terapêutica e prognóstico de lesões bucais "
KAMILA DA SILVA ANDRADE,INSTITUTO DE MATEMÁTICA E ESTATÍSTICA,FINALIZADO,PI01576-2016,01/07/2016,30/09/2023,Ciências Exatas e da Terra,Matemática,Geometria e Topologia,Bifurcações de Ciclos Típicos em Sistemas Não-Suaves Definidos em Duas Zonas
THIAGO ALVES DE QUEIROZ,UNID. ACAD. ESP/MATEMATICA E TECNOLOGIA - CATALAO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI01676-2017,01/03/2017,31/12/2023,Engenharias,Engenharia de Produção,Pesquisa Operacional,Problemas com decisões Integradas de Localização e Roteamento: Abordagens Exatas e Heurísticas
LILIAN CARLA CARNEIRO,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA,FINALIZADO,PI0169-2017,01/03/2017,31/12/2023,Ciências Biológicas,Microbiologia,Biologia e Fisiologia dos Microorganismos,"Comunidade bacteriana, perfil molecular de resistência aos antimicrobianos e avaliação ecotoxicologica em dois sistemas de abastecimento de água da região metropolitana de Goiânia"
JANAINA VALADARES GUIMARAES,FACULDADE DE ENFERMAGEM,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI01692-2017,28/08/2017,30/12/2023,Ciências da Saúde,Enfermagem,Enfermagem Obstétrica,EFICÁCIA DE UMA INTERVENÇÃO EDUCATIVA NO TRATAMENTO DE PUÉRPERAS: ENSAIO CLÍNICO RANDOMIZADO
MARCIO CALIARI,ESCOLA DE AGRONOMIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI0171-2017,01/01/2017,31/12/2023,Ciências Agrárias,Ciência e Tecnologia de Alimentos,Ciência de Alimentos,Extração e modificação física do amido de diferentes variedades de batata doce
EVERTON KORT KAMP FERNANDES,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI01776-2017,01/07/2017,31/12/2023,Ciências Agrárias,Medicina Veterinária,Medicina Veterinária Preventiva,"Fungos entomopatogênicos versus carrapatos: Uma investigação da relação patógeno-hospedeiro considerando a expressão de fatores de transcrição, a resposta do carrapato e a interferência de fatores abióticos estressantes na infecção."
ELAINE ROSECHRER CARBONERO,UNID. ACAD. ESP/QUIMICA - CATALAO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI01813-2017,11/10/2017,30/10/2023,Ciências Exatas e da Terra,Química,Química Orgânica,Perfil químico de carboidratos de macromicetos pela técnica de RMN
ELAINE ROSECHRER CARBONERO,UNID. ACAD. ESP/QUIMICA - CATALAO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI01847-2017,30/10/2017,30/10/2023,Ciências Biológicas,Bioquímica,Química de Macromoléculas,INFLUÊNCIA DAS LINHAGENS E SUBSTRATOS NA COMPOSIÇÃO QUÍMICA DE COGUMELOS COMESTÍVEIS E/OU MEDICINAIS
NUBIA NATALIA DE BRITO,INSTITUTO DE QUÍMICA,FINALIZADO,PI01918-2017,01/08/2017,31/08/2023,Ciências Exatas e da Terra,Química,Química Analítica,TRATAMENTO QUÍMICO DE POLUENTES EMERGENTES DA INDÚSTRIA COSMÉTICA UTILIZANDO MATERIAIS DE BAIXO CUSTO
INA DE SOUZA NOGUEIRA,INSTITUTO DE CIENCIAS BIOLOGICAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI01920-2017,01/11/2017,31/08/2023,Ciências Biológicas,Botânica,Taxonomia Vegetal,"DIVERSIDADE TAXONÔMICA DE ALGAS DO ESTADO DE GOIÁS: COM ÊNFASE EM CYANOBACTERIAS, CHLOROPHYTA  E OCHROPHYTA"
REGINA MARIA BRINGEL MARTINS,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA,AGUARDANDO CEP/CEUA/CBIO,PI02050-2015,27/02/2015,31/12/2023,Ciências Biológicas,Microbiologia,Microbiologia Aplicada,EPIDEMIOLOGIA DAS INFECÇÕES POR HIV E HTLV EM HOMENS QUE FAZEM SEXO COM HOMENS EM GOIÂNIA-GOIÁS
SHEILA ARAUJO TELES,FACULDADE DE ENFERMAGEM,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI02127-2017,26/10/2017,26/12/2023,Ciências da Saúde,Saúde Coletiva,Epidemiologia,"EPIDEMIOLOGIA DE INFECÇÕES SEXUALMENTE TRANSMISSÍVEIS, COMPORTAMENTOS DE RISCO E VULNERABILIDADES EM MULHERES TRANGÊNERO EM GOIÁS"
FERNANDA BUSANELLO FERREIRA,FACULDADE DE DIREITO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI02143-2018,03/01/2018,31/12/2023,Ciências Sociais Aplicadas,Direito,Direitos Especiais,CARTOGRAFIA DA ATUAÇÃO DA COMISSÃO INTERAMERICANA DE DIREITOS HUMANOS EM CASOS CONTRA A REPÚBLICA FEDERATIVA DO BRASIL: inventário e o papel dos movimentos sociais 
PRISCILLA DE ANDRADE SILVA XIMENES,UNID. ACAD. ESP./EDUCAÇÃO - CATALÃO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI02189-2018,01/03/2018,31/12/2023,Ciências Humanas,Educação,Ensino-Aprendizagem,O ESTÁGIO NA FORMAÇÃO DE PROFESSORES/ASPARA A EDUCAÇÃO INFANTIL: AS SIGNIFICAÇÕES DOS/ASEGRESSOS/ASDO CURSO DE PEDAGOGIA 
LIZETE MALAGONI DE ALMEIDA CAVALCANTE OLIVEIRA,FACULDADE DE ENFERMAGEM,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI02191-2018,05/02/2018,31/03/2023,Ciências da Saúde,Enfermagem,Enfermagem Médico-Cirúrgica,Melhores práticas para controle da incontinência urinária em homens submetidos a prostactectomia radical
IGO GOMES GUIMARAES,UNID. ACAD. ESP/CIENCIAS AGRARIAS-JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI02200-2017,02/07/2017,02/07/2023,Ciências Agrárias,Recursos Pesqueiros e Engenharia de Pesca,Aqüicultura,DESENVOLVIMENTO DE UMA DIETA ESPECÍFICA PARA ALEVINOS DE PIRAPITINGA (Piaractus brachypomus)
ANTONIO NILSON ZAMUNER FILHO,UAE - DE ENGENHARIA - CATALÃO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI02220-2018,01/02/2018,01/12/2023,Ciências Agrárias,Agronomia,Ciência do Solo,REMINERALIZADORES: APLICAÇÃO EM NUTRIÇÃO DE PLANTAS 
CLAUDIO HIDEO MARTINS DA COSTA,UNID. ACAD. ESP/CIENCIAS AGRARIAS-JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI02247-2018,01/03/2018,15/12/2023,Ciências Agrárias,Agronomia,Fitotecnia,SISTEMAS DE PRODUÇÃO AGRÍCOLA PARA PRODUÇÃO DE GRÃOS NO SUDOESTE GOIANO
RAFAEL BATTISTI,ESCOLA DE AGRONOMIA,FINALIZADO,PI02290-2018,01/03/2018,31/12/2023,Ciências Agrárias,Agronomia,Agrometeorologia,Balanço hídrico aplicado ao planejamento e tomada de decisão em cultivos agrícolas e florestais
TIAGO CAMARINHA LOPES,"FACULDADE DE ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E CIÊNCIAS ECONÔMICAS",FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI02316-2018,30/07/2018,31/08/2023,Ciências Sociais Aplicadas,Economia,Economia Regional e Urbana,A Economia Política dos Resíduos Sólidos: meio ambiente versus inclusão social?
WANDERLEI MALAQUIAS PEREIRA JUNIOR,UAE - DE ENGENHARIA - CATALÃO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI02353-2018,26/03/2016,31/01/2023,Engenharias,Engenharia Civil,Estruturas,ESTUDO DE ESTRUTURAS DE CONCRETO ARMADO PARA EDIFÍCIOS DE MÚLTIPLOS PAVIMENTOS 
ANDREA RODRIGUES CHAVES,INSTITUTO DE QUÍMICA,PRORROGAÇÃO PENDENTE PRPI,PI02374-2017,01/10/2017,31/10/2023,Ciências Exatas e da Terra,Química,Química Analítica,Estratégias para determinação de biomarcadores de interesse oncológico em fluidos biológicos de pacientes
FABIO MOREIRA COSTA,INSTITUTO DE INFORMÁTICA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI02375-2018,16/03/2018,31/08/2023,Ciências Exatas e da Terra,Ciência da Computação,Sistemas de Computação,Emergent Systems for Smart Cities: An Approach based on Domain-Specific Middleware and Microservices
JORGE LUIZ VIEIRA DOS ANJOS,UNID. ACAD. ESP/FISICA - CATALAO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI02384-2014,01/12/2014,01/12/2023,Ciências Exatas e da Terra,Física,Física da Matéria Condensada,CARACTERIZAÇÃO POR ESPECTROSCOPIA DE RESSONÂNCIA PARAMAGNÉTICA ELETRÔNICA DE NANOPARTÍCULAS LIPÍDICAS CONTENDO FÁRMACOS PARA ADMINISTRAÇÃO ATRAVÉS DA PELE
ANDRIELLI MORAIS DE OLIVEIRA,ESCOLA DE ENGENHARIA CIVIL E AMBIENTAL,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI02418-2018,01/05/2018,06/12/2023,Engenharias,Engenharia Civil,Construção Civil,Estudo da Durabilidade e do Comportamento  Mecânico de Materiais Cimentícios produzidos com Resíduos de Silício Metálico 
ANA CRISTINA SILVA REBELO,INSTITUTO DE CIENCIAS BIOLOGICAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI02433-2018,17/04/2018,31/12/2023,Ciências Biológicas,Fisiologia,Fisiologia Geral,DA INFÂNCIA A MATURIDADE: INVESTIGANDO O DESENVOLVIMENTO HUMANO SOB UMA PERSPECTIVA PSICOBIOLÓGICA E EVOLUTIVA
RAFAEL PAVAO DAS CHAGAS,INSTITUTO DE QUÍMICA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI02447-2013,01/03/2013,01/03/2023,Ciências Exatas e da Terra,Química,Química Inorgânica,"COMPLEXOS DE METAIS DE TRANSIÇÃO COM LIGANTES POLIDENTADOS DERIVADOS DO PIRROL E CALCOGENOFENOS: SÍNTESE, CARACTERIZAÇÃO E APLICAÇÕES"
ANAIR VALENIA MARTINS DIAS,UNID. ACAD. ESP/LETRAS E LINGUISTICA - CATALAO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI02453-2018,20/04/2018,20/04/2023,"Lingüística, Letras e Artes",Lingüística,Lingüística Aplicada,"MULTISSEMIOSES, MULTILETRAMENTOS E MULTICULTURALISMOS NA CONSTITUIÇÃO DOS GÊNEROS DISCURSIVOS: INTERFACES TEÓRICO-PRÁTICAS "
JOYCELAINE APARECIDA DE OLIVEIRA,CENTRO DE ENSINO E PESQUISA APLICADA A EDUCACAO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI02454-2018,23/03/2018,31/12/2023,Ciências Humanas,Educação,Ensino-Aprendizagem,LETRAMENTO E INFÂNCIA: ESTUDOS INTERDISCIPLINARES 
JULIANA GUIMARAES FARIA,FACULDADE DE LETRAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI02473-2018,22/04/2018,31/07/2023,"Lingüística, Letras e Artes",Lingüística,Lingüística Aplicada,"Formação de tradutores e intérpretes de língua brasileira de sinais - língua portuguesa: um estudo sobre política, perfil docente, materiais didáticos e estado do conhecimento"
MARCO ANTONIO CACADOR MARTINS FERREIRA,FACULDADE DE CIÊNCIAS E TECNOLOGIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI02478-2018,01/08/2018,01/08/2023,Ciências Exatas e da Terra,Geociências,Geologia,DETALHAMENTO E SUB-COMPARTIMENTACAO DA ESTRUTURACAO TECTONICA DA FAIXA BRASILIA
JOSE DANIEL GONCALVES VIEIRA,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI02499-2018,02/05/2018,31/12/2023,Ciências Agrárias,Agronomia,Ciência do Solo,ESTUDO E APLICAÇÃO DE BACTÉRIAS PROMOTORAS DO CRESCIMENTO VEGETAL
PRISCILA RENATA GIMENEZ,FACULDADE DE LETRAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI02520-2018,01/05/2018,31/08/2023,"Lingüística, Letras e Artes",Letras,Literatura Comparada,"Literatura, Imprensa e Tradução "
APARECIDO RIBEIRO DE SOUZA,INSTITUTO DE QUÍMICA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI02530-2018,01/04/2018,01/04/2023,Ciências Exatas e da Terra,Química,Química Inorgânica,Desenvolvimento de catalisadores e fotocatalisadores para oxidação da água a base de compostos nanoestruturados
MARIZE CAMPOS VALADARES,FACULDADE DE FARMÁCIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI0253-2017,09/03/2017,31/12/2023,Ciências da Saúde,Farmácia,Análise Toxicológica,Modelos in vitro 3D pulmonares para a investigação de toxicidade pulmonar de diferentes toxicantes em aerosois/particulas 
FABIANE FERREIRA DA SILVA MORAES,FACULDADE DE LETRAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI02539-2018,26/04/2018,26/04/2023,"Lingüística, Letras e Artes",Letras,,Construções discursivas sobre a surdez: análise do discurso oficial
VIVIANE GIANLUPPI FERRO,INSTITUTO DE CIENCIAS BIOLOGICAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI02557-2018,23/04/2018,23/04/2023,Ciências Biológicas,Zoologia,Comportamento Animal,Interações entre insetos e plantas
ELISA SOARES ROCHA BARBOSA,FACULDADE DE CIÊNCIAS E TECNOLOGIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI02586-2018,26/04/2018,25/04/2023,Ciências Exatas e da Terra,Geociências,Geofísica,GEOFÍSICA APLICADA AO PATRIMÔNIO GEOLÓGICO
LEVI CARINA TERRIBILE,UNID. ACAD. ESP/CIENCIAS BIOLOGICAS-JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI02587-2018,12/03/2018,31/12/2023,Ciências Biológicas,Ecologia,Ecologia Teórica,Impacto da mudança climática e conservação de espécies da fauna e da flora ameaçadas e deficientes em dados no Cerrado
JOSE DOS REIS VIEIRA DE MOURA JUNIOR,UNID. ACAD. ESP/MATEMATICA E TECNOLOGIA - CATALAO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI02593-2018,01/02/2018,31/01/2023,Engenharias,Engenharia de Produção,Pesquisa Operacional,MODELOS E SOLUÇÃO DE PROBLEMAS DE PROGRAMAÇÃO DA PRODUÇÃO EM AMBIENTES INDUSTRIAIS FLOW SHOP E SUAS VARIANTES
FILIPE LAZZERI VIEIRA,FACULDADE DE FILOSOFIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI0260-2016,01/04/2016,01/03/2023,Ciências Humanas,Filosofia,Epistemologia,Funções e Comportamentos
LUIZMAR ADRIANO JUNIOR,PRÓ-REITORIA DE PESQUISA E INOVAÇÃO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI02602-2018,25/04/2018,25/04/2023,Outras,Tecnologia e Inovação,,Implantação do Parque Tecnológico Samambaia  UFG
EWERTON ROCHA VIEIRA,INSTITUTO DE MATEMÁTICA E ESTATÍSTICA,PRORROGAÇÃO PENDENTE COORD. PESQUISA,PI02611-2018,26/04/2018,25/04/2023,Ciências Exatas e da Terra,Matemática,Geometria e Topologia,Métodos Topológicos em Sistemas Dinâmicos 
ELIS REGINA DA COSTA,UNID. ACAD. ESP./EDUCAÇÃO - CATALÃO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI02627-2017,20/12/2017,31/01/2023,Ciências Humanas,Psicologia,Psicologia do Ensino e da Aprendizagem,O ENSINO DE ESTRATÉGIAS DE APRENDIZAGEM PARA ALUNOS REPETENTES DO CURSO DE PEDAGOGIA: UM ESTUDO EXPLORATÓRIO     
CRISTINA DA COSTA KREWER MASCIOLI,INSTITUTO DE CIENCIAS BIOLOGICAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI02674-2018,01/05/2018,01/08/2023,Ciências Biológicas,Biologia Geral,,Qual a contribuição do desenho na compreensão das ciências biológicas?
DIEGO MAURICIO BARBOSA,FACULDADE DE LETRAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI02675-2018,01/08/2018,31/07/2023,"Lingüística, Letras e Artes",Lingüística,Lingüística Aplicada,QUALIDADE NA TRADUÇÃO E INTERPRETAÇÃO: LÍNGUA BRASILEIRA DE SINAIS  LÍNGUA PORTUGUESA
JULIO ALMEIDA SILVA,FACULDADE DE ODONTOLOGIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI02793-2018,20/04/2018,30/11/2023,Ciências da Saúde,Odontologia,,Validação da oximetria de pulso como método de diagnóstico na Odontologia
WANDERLEI MALAQUIAS PEREIRA JUNIOR,UAE - DE ENGENHARIA - CATALÃO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI02801-2018,24/07/2018,30/04/2023,Engenharias,Engenharia Civil,,DESENVOLVIMENTO DE UMA PLATAFORMA MULTIDISCIPLINAR DE TRABALHO VOLTADA A ENGENHARIA
PAULO ROBERTO SCALCO,"FACULDADE DE ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E CIÊNCIAS ECONÔMICAS",FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI02835-2018,01/06/2018,01/08/2023,Ciências Sociais Aplicadas,Economia,Economia Industrial,"MERCADOS IMPERFEITOS, CONCORRÊNCIA E PODER DE MERCADO"
ADRIANA LUIZE BOCCHI,UNID. ACAD. ESP/CIENCIAS AGRARIAS-JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI02852-2018,10/06/2018,31/12/2023,Ciências Agrárias,Zootecnia,Produção Animal,DESEMPENHO E QUALIDADE DE CARCAÇA DE BOVINOS CONFINADOS
ANA GABRIELA COLANTONI,UNID. ACAD. ESP/CIENCIAS HUMANAS - GOIAS,FINALIZADO,PI02899-2018,28/09/2018,28/09/2023,Ciências Humanas,Educação,Fundamentos da Educação,Educação e Filosofia do Campo
DIEGO TARLEY FERREIRA NASCIMENTO,INSTITUTO DE ESTUDOS SÓCIO-AMBIENTAIS,FINALIZADO,PI02913-2019,02/01/2019,31/08/2023,Ciências Humanas,Geografia,Geografia Regional,RITMO E GÊNESE DO CLIMA DO ESTADO DE GOIÁS E DO DISTRITO FEDERAL
CRISTOVAO GIOVANI BURGARELLI,FACULDADE DE EDUCAÇÃO,FINALIZADO,PI02939-2018,26/09/2018,31/07/2023,Ciências Humanas,Psicologia,Psicologia Social,Freud no século XXI: a atualidade da clínica psicanalítica
MARIA CLORINDA SOARES FIORAVANTI,ESCOLA DE VETERINÁRIA E ZOOTECNIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI02989-2018,01/12/2018,31/01/2023,Ciências Agrárias,Medicina Veterinária,Clínica e Cirurgia Animal,"ASPECTOS CLÍNICOS, LABORATORIAIS E TERAPÊUTICOS DE CANINOS E FELINOS PORTADORES DE UROLITÍASE"
LUCELIA GONCALVES VIEIRA,INSTITUTO DE CIENCIAS BIOLOGICAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03013-2018,17/09/2018,16/09/2023,Ciências Biológicas,Morfologia,Anatomia,"Influência da exposição à atrazina, glifosato e fipronil no desenvolvimento de Podocnemis expansa (Testudines, Podocnemididae)"
FABIANNA SIMAO BELLIZZI CARNEIRO,UNID. ACAD. ESP/LETRAS E LINGUISTICA - CATALAO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03025-2018,08/11/2018,08/11/2023,"Lingüística, Letras e Artes",Letras,Literatura Comparada,Um ser tão assombrado: as manifestações do gótico no regionalismo brasileiro
MONICA SANTIAGO BARBOSA,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03047-2018,01/07/2018,31/12/2023,Ciências Biológicas,Microbiologia,Microbiologia Aplicada,Detecção dos Genes de Virulência do Helicobacter pylori em Pacientes com Câncer Gástrico: Uma Associação com os Aspectos Clínicos e Histopatológicos 
RUBENS DE FREITAS BENEVIDES,FACULDADE DE CIÊNCIAS SOCIAIS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03054-2018,01/10/2018,31/12/2023,Ciências Humanas,Sociologia,Outras Sociologias Específicas,COLETIVOS DE CULTURA COMO PRODUTORES CULTURAIS
ALEXANDRE PANCOTTI,UNID. ACAD. ESP/CIENCIAS EXATAS - JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI0306-2017,14/03/2017,31/08/2023,Ciências Exatas e da Terra,Física,Física Geral,X-Ray Photoelectron Diffraction Study Of Relaxation And Rumpling Of Micron Scale Ferroeletric Domains In BatiO3(001) - Part 3
CINTIA SILVA MINAFRA E REZENDE,ESCOLA DE VETERINÁRIA E ZOOTECNIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03110-2018,12/03/2018,06/03/2023,Ciências Agrárias,Medicina Veterinária,Inspeção de Produtos de Origem Animal,EFEITO ANTIBIÓTICO DA PRÓPOLIS VERMELHA SOBRE Campylobacter - TERMOTOLERANTES
HENRIQUE ALMEIDA FERNANDES,UNID. ACAD. ESP/CIENCIAS EXATAS - JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03113-2019,01/01/2019,31/12/2023,Ciências Exatas e da Terra,Física,Física da Matéria Condensada,Comportamento crítico dinâmico em sistemas de spin e em modelos com estados absorventes
CINTIA SILVA MINAFRA E REZENDE,ESCOLA DE VETERINÁRIA E ZOOTECNIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03116-2018,12/03/2018,06/03/2023,Ciências Agrárias,Medicina Veterinária,Inspeção de Produtos de Origem Animal,POTENCIAL ANTIMICROBIANO DA PRÓPOLIS VERDE SOBRE Salmonella enterica subsp. enterica
LUCIANA MELO COELHO,UNID. ACAD. ESP/QUIMICA - CATALAO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03122-2019,14/01/2019,30/08/2023,Ciências Exatas e da Terra,Química,Química Analítica,Determinação de agrotóxicos em alimentos
CINTIA SILVA MINAFRA E REZENDE,ESCOLA DE VETERINÁRIA E ZOOTECNIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03135-2018,12/06/2018,13/03/2023,Ciências Agrárias,Medicina Veterinária,Inspeção de Produtos de Origem Animal,PERDAS ECONÔMICAS ASSOCIADAS ÀS CONDENAÇÕES SANITÁRIAS DE CARCAÇAS DE FRANGOS 
ELZILAINE DOMINGUES MENDES,UNID. ACAD. ESP/BIOTECNOLOGIA - CATALAO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03154-2018,02/04/2018,29/12/2023,Ciências Humanas,Psicologia,Tratamento e Prevenção Psicológica,Psicopatologia e Clínica Contemporânea
SIMONE GONCALVES DA FONSECA,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI03155-2018,01/09/2018,31/12/2023,Ciências Biológicas,Imunologia,Imunologia Celular,Envolvimento do microbioma intestinal e metabolismo microbiano no controle da infecção pelo Vírus da imunodeficiência humana (HIV)
