coordenador_projeto_pesquisa,unidade_coordenador_projeto,status_projeto_pesquisa,codigo_projeto_pesquisa,data_inicio_projeto,data_fim_projeto,grande_area,area,subarea,titulo_projeto_pesquisa
TATIANA GONDIM DO AMARAL,ESCOLA DE ENGENHARIA CIVIL E AMBIENTAL,EM ANDAMENTO (Documentos Conferidos),PI06718-2023,22/02/2023,22/02/2028,Engenharias,Engenharia Civil,Construção Civil,Tecnologia e Gestão da Produção de Edifícios Verticalizados
ARLINDO RODRIGUES GALVAO FILHO,INSTITUTO DE INFORMÁTICA,EM ANDAMENTO,PI06721-2023,01/04/2023,31/08/2025,Ciências Exatas e da Terra,Ciência da Computação,,Geração Automática de Textos Jurídicos Utilizando Modelos de Geradores de Linguagem Natural
EVELLIN CRISTINE SOUZA CARDOSO,INSTITUTO DE INFORMÁTICA,EM ANDAMENTO (Documentos Conferidos),PI06722-2023,23/02/2023,23/02/2028,Ciências Exatas e da Terra,Ciência da Computação,Metodologia e Técnicas da Computação,SISTEMAS DE INFORMAÇÃO E CIÊNCIAS DE DADOS NA ERA DE BIG DATA 
LILIAN RIBEIRO DE REZENDE,ESCOLA DE ENGENHARIA CIVIL E AMBIENTAL,EM ANDAMENTO,PI06729-2023,01/03/2023,28/02/2028,Engenharias,Engenharia Civil,Geotécnica,Estudo avançado de ligantes e misturas asfálticas
LILIAN RIBEIRO DE REZENDE,ESCOLA DE ENGENHARIA CIVIL E AMBIENTAL,EM ANDAMENTO (Documentos Conferidos),PI06730-2023,01/03/2023,28/02/2028,Engenharias,Engenharia Civil,Geotécnica,DESENVOLVIMENTO DE PAVIMENTO ASFÁLTICO DRENANTE SUSTENTÁVEL PARA O CONTEXTO DO ESTADO DE GOIÁS
OZANA DE FATIMA ZACARONI,ESCOLA DE VETERINÁRIA E ZOOTECNIA,EM ANDAMENTO (Documentos Conferidos),PI06736-2023,01/05/2023,31/12/2024,Ciências Agrárias,Zootecnia,Produção Animal,O uso de diflubenzuron 3% no controle de mosca do estábulo pode afetar a transmissão de mastite em vacas leiteira?
JOANA PAULA SANCHEZ,FACULDADE DE CIÊNCIAS E TECNOLOGIA,EM ANDAMENTO,PI06746-2023,01/03/2023,01/03/2025,Ciências Exatas e da Terra,Geociências,Geologia,Projeto GeoAves no nordeste Goiano
JANAINA VALADARES GUIMARAES,FACULDADE DE ENFERMAGEM,EM ANDAMENTO (Documentos Conferidos),PI06749-2023,25/02/2023,25/02/2028,Ciências da Saúde,Enfermagem,Enfermagem Obstétrica,Sintomas de ansiedade e depressão em puérperas associados a pandemia da covid-19: Estudo de Coorte Prospectiva 
ADRIANA TERAMOTO,ESCOLA DE AGRONOMIA,EM ANDAMENTO (Documentos Conferidos),PI06751-2023,02/03/2023,31/12/2025,Ciências Agrárias,Agronomia,Fitotecnia,"Desenvolvimento de mudas de abacaxizeiro BRS Imperial com uso de bioensumos em Goiânia, GO "
MATHEUS DE FRANCA PERAZZO,FACULDADE DE ODONTOLOGIA,EM ANDAMENTO (Documentos Conferidos),PI06754-2023,02/03/2023,02/09/2026,Ciências da Saúde,Odontologia,,"ADATAÇÃO TRANSCULTURAL E ANÁLISE DAS PROPRIEDADES PSICOMÉTRICAS DE INSTRUMENTOS SOBRE COMPORTAMENTO, VALORES E LÓCUS DE CONTROLE NA ODONTOLOGIA"
LIDIA MORAES RIBEIRO JORDAO,FACULDADE DE ODONTOLOGIA,EM ANDAMENTO (Documentos Conferidos),PI06755-2023,02/05/2023,28/02/2026,Ciências da Saúde,Odontologia,Odontologia Social e Preventiva,CONHECIMENTO SOBRE LETRAMENTO EM SAÚDE BUCAL DE ESTUDANTES DE ODONTOLOGIA: IMPLEMENTAÇÃO DE CAPACITAÇÃO E AVALIAÇÃO QUALITATIVA
